2001.18.59	Sans titre [Grue brolga] | | | | | | | Territoire
2001.18.60	Kunapipi | | | | | | | Territoire du Nord | | Yol
2001.18.62	[Sans titre] | | | | | | | Territoire du Nord | |
2001.18.65	[sans titre] | | | | | | | Territoire du Nord | |
2001.18.98	Totem | | | | | | | Territoire du Nord | | Yolngu
2001.18.99	Totem | | | | | | | Territoire du Nord | | Inv. n
20015641	Crocodileimus robustus | | | | | | | | | | | | | 
2004.4.15	Coiffe de mariage | | | | | | | | | | | | | Papou
2006.7.3	Metamorphosis ; Djunungayangu | | | | | | | Terri
2007.1.45	Collier de guerrier | | | | | | | Papouasie-Nouve
2007.1.82	Monnaie | | | | | | | Papouasie-Nouvelle-Guinée 
2007.1.93	Parure-monnaie | | | | | | | | | | | | | Papouasi
2007.68.2	Crocodile design | | | | | | | Territoire du Nord
20151109	Crocodileimus robustus | | | | | | | France | | F
2017.43.279	Coiffe de chef ou de guerrier | | | | | | | | | |
2018.14.29	pendentif | | | | | | | Owo | | Yoruba | | Inv. n
2025.3.110	Selimut | | | | | | | Timor | | Inv. n°2025.3.11
42000392	Crocodylus porosus | | | | | | | Vietnam du Sud |
42000393	Crocodylus niloticus | | | | Spécimen monté | |
42000394	Crocodylus siamensis | | | | | | | Vietnam du Sud
42000395	Crocodylus niloticus | | | | | | | Toamasina | | 
42000532	Crocodylus niloticus | | | | Spécimen monté | | 
42001360	Scopelus crocodilus | | | | | | | France | | Spé
42003560	Crocodylus niloticus | | | | | | | Égypte | | Sp
42003561	Crocodylus niloticus | | | | | | | Nosy Bé | | S
42003562	Crocodylus siamensis | | | | | | | Tay Ninh | | S
42003563	Crocodylus siamensis | | | | | | | Vietnam | | Sp
42003564	Crocodylus porosus | | | | | | | Hô Chi Minh Vil
42003914	Crocodylus niloticus | | | | | | | Afrique | | Sp
42003923	Osteolaemus tetraspis | | | | Spécimen en fluide
42003924	Crocodylus niloticus | | | | Spécimen en fluide 
42003926	Osteolaemus tetraspis | | | | | | | Bénin | | Sp
42003946	Osteolaemus tetraspis | | | | | | | Afrique | | S
42004211	Belone annulata | | | | | | | Océan Indien | | S
42005380	Tylosurus crocodilus | | | | | | | Sénégal | | 
42006200	Crocodylus niloticus | | | | | | | Cameroun | | S
42006201	Crocodylus porosus | | | | | | | Afrique | | Spé
42006202	Crocodylus acutus | | | | | | | Amérique | | Sp�
42006203	Crocodylus niloticus | | | | | | | Madagascar | |
42006204	Crocodylus porosus | | | | | | | Tay Ninh | | Sp�
42006205	Crocodylus niloticus | | | | Spécimen monté | |
42006206	Crocodylus niloticus | | | | | | | Saint-Louis | 
42006506	Crocodylus rhombifer | | | | Spécimen monté | |
42006507	Crocodylus rhombifer | | | | Spécimen monté | |
42006539	Crocodylus niloticus | | | | | | | Madagascar | | 
42006540	Crocodylus porosus | | | | | | | Hô Chi Minh Vil
42006545	Crocodylus acutus | | | | | | | Rép. Dominicaine
42006548	Crocodylus niloticus | | | | | | | Afrique | | Sp
42006549	Crocodylus niloticus | | | | | | | Afrique | | Sp
42006550	Crocodylus niloticus | | | | | | | Afrique | | Sp
42006554	Crocodylus niloticus | | | | | | | Sénégal | | 
