cl010013950	200	N 939; Salt n°765	pot
cl010013951	200	E 22791; Curtis n°292	incrustation
cl010013952	200	E 11064; AF 2759	figurine ; incrustation
cl010013953	200	E 2410; N 1579; Clot bey C 25 n°5	statue
cl010013954	200	E 16660 22; AR 33 22	ciseau
cl010013955	200	E 16660 13; AR 33 13	outil ; ciseau
cl010013956	200	E 16660 12; AR 33 12	ciseau
cl010013957	200	E 10793; AF 6840	statue
cl010013958	200	E 3156; Anastasi n°596	amulette
cl010013959	200	E 11029 1	couteau bifacial ; couteau à soie
cl010013960	200	E 14849; T. 220	amulette
cl010013961	200	E 21710; MG 4211; EG 1871	stèle cintrée
cl010013962	200	N 4278	figurine ; vase
cl010013963	404		
cl010013964	200	AF 6508	peigne double
cl010013965	200	AF 6509	peigne double
cl010013966	200	AF 6766	pot à kohol à collerette plate
cl010013967	404		
cl010013968	200	Durand n°1710	amulette ; pendentif
cl010013969	200	E 1320; N 3844; Clot bey C 21 F n°4; 833	figurine
cl010013970	200	E 19432; MG 1923	amulette
cl010013971	200	E 14725	serviteur funéraire momiforme
cl010013972	404		
cl010013973	404		
cl010013974	200	E 29851	figurine de tête de femme romaine à cou fermé
cl010013975	200	E 29852	figurine de tête de femme romaine à cou fermé
cl010013976	200	E 29846	figurine de tête de femme romaine à cou fermé
cl010013977	200	E 29848	figurine de tête de femme romaine à cou fermé
cl010013978	200	E 29853	figurine de tête de femme romaine à cou fermé
cl010013979	200	E 29850	figurine de tête de femme romaine à cou fermé
cl010013980	200	E 29845	figurine de tête de femme romaine à cou fermé
cl010013981	200	AF 9801	figurine de fils d'Horus
cl010013982	200	AF 9802	figurine de fils d'Horus
cl010013983	200	AF 9803	figurine de fils d'Horus
cl010013984	200	N 4099; Salt n°527	figurine
cl010013985	200	N 4436; Drovetti n°296	figurine
cl010013986	200	N 5165; AF 2940; IM 5308; S 99 ?	figurine
cl010013987	404		
cl010013988	404		
cl010013989	200	AF 8540	statue
cl010013990	200	AF 235; 1280	figurine d'Isis allaitant
cl010013991	200	N 3352; Salt n°620	figurine
cl010013992	200	N 36; A 35	Tête d'empereur romain en pharaon
cl010013993	200	E 5883; AF 5	figurine d'Isis allaitant
cl010013994	200	N 5233 32; IM 3284; S 1198	serviteur funéraire
cl010013995	200	N 5233 31; IM 3283; S 1199	serviteur funéraire
cl010013996	200	N 5233 12; IM 6043; S 1541	serviteur funéraire momiforme
cl010013997	200	N 5233 15; IM 6051; S 1535	serviteur funéraire momiforme
cl010013998	200	N 5233 10; IM 6041; S 1540	serviteur funéraire momiforme
cl010013999	200	N 5233 4; IM 6036; S 1545	serviteur funéraire momiforme
cl010014000	200	N 5233 16; IM 6048; S 1542	serviteur funéraire momiforme
cl010014001	200	N 5233 3; IM 6053; S 1534	serviteur funéraire momiforme
cl010014002	200	N 5167 2; IM 3685 ?; S 1456 ?	serviteur funéraire
cl010014003	200	N 5234 8; IM 5446; S 1470	serviteur funéraire
cl010014004	200	N 5234 36; IM 3422; S 1719	serviteur funéraire
cl010014005	200	N 5234 32; IM 3404; S 1714	serviteur funéraire
cl010014006	200	N 5234 39; IM 3405; S 1722	serviteur funéraire
cl010014007	200	N 5234 46; IM 3399; S 1729	serviteur funéraire
cl010014008	200	N 5234 27; S 1709	serviteur funéraire
cl010014009	200	N 2678 A; 913	momie de chat ; momie d'animal en gaine à tête dégagée
cl010014010	200	E 2801; N 2903 D; Clot bey C 34 n°4	momie d'ibis
cl010014011	200	E 2562; N 3791; Clot bey C 30 n° 15	cercueil de chat
cl010014012	200	N 2875; CC 469	momie de bélier
cl010014013	200	E 2806; N 2903 A; Clot bey C 34 n°9	momie d'ibis
