cl010024537	200	N 3459 369	serviteur funéraire momiforme
cl010024538	200	N 3459 370	serviteur funéraire momiforme
cl010024539	200	N 3459 371	serviteur funéraire momiforme
cl010024540	200	N 3459 372	serviteur funéraire momiforme
cl010024541	200	N 3459 373	serviteur funéraire momiforme
cl010024542	200	N 3459 374	serviteur funéraire momiforme
cl010024543	200	N 3459 375	serviteur funéraire momiforme
cl010024544	200	N 3459 376	serviteur funéraire momiforme
cl010024545	200	N 3459 377	serviteur funéraire momiforme
cl010024546	200	N 3459 378	serviteur funéraire momiforme
cl010024547	200	N 3459 379	serviteur funéraire momiforme
cl010024548	200	N 3459 381	serviteur funéraire momiforme
cl010024549	200	E 16366; Deir el-Médina 1939 n° 96	stèle
cl010024550	200	N 332; Salt n°3721	stèle cintrée ; stèle à un registre
cl010024551	200	E 13063; CM 48; BN 44 bis; Thédenat-Duvent n°74	stèle à deux registres ; stèle cintrée
cl010024552	200	E 2272; Clot bey C 21 V n°67	amulette
cl010024553	200	E 20050; MG 2551	figurine
cl010024554	200	E 1701; Clot bey C 21 F n°394	amulette
cl010024555	200	E 1704; Clot bey C 21 F n°397	amulette
cl010024556	200	MG 16783	figurine ; statue
cl010024557	200	AF 11636	amulette
cl010024558	404		
cl010024559	404		
cl010024560	200	E 10571	stèle cintrée ; stèle de donation
cl010024561	200	E 8099; C 261	stèle de donation ; stèle cintrée
cl010024562	200	E 20370; MG 2871; Moret C 11; Barrois n°6	Stèle de Horemméret
cl010024563	200	E 19262; MG 1753; Moret C 42; EG 25	stèle cintrée ; stèle à un registre
cl010024564	200	E 16304; Deir el-Médina 1939 n° 34	moule d'orfèvre ; boucle d'oreille en anneau à pendentif ; boucle d'oreille en bouteille
cl010024565	200	E 16317; Deir el-Médina 1939 n° 47	moule d'orfèvre  ; pendentif
cl010024566	200	E 19484; MG 1975	amulette ; scaraboïde
cl010024567	200	E 18737; AF 8989; MG 1228	amulette
cl010024568	200	E 19674; MG 2175; MG 8579	amulette
cl010024569	200	AF 9756	modèle
cl010024570	200	E 11607	Bague aux canards de Ramsès IV
cl010024571	200	AF 2705	figurine
cl010024572	404		
cl010024573	200	AF 9158	jarre
cl010024574	404		
cl010024575	200	E 27139	statue
cl010024576	200	N 3653 A; Salt n°3652 ?; 1465	figurine d'oiseau akhem  ; statue de Ptah-Sokar-Osiris
cl010024577	200	N 2901; Salt n°3029; Champollion B. 239	*CROC* momie de crocodile ; momie d'animal en gaine à tête dégagée
cl010024578	200	E 17283; KD 44	pointe de pique
cl010024579	200	E 17284 + E 17286 + E 17287 + E 17288 + E 17289 + E 17290; E 17284; E 17287; E 17288; E 17289; E 17290; E 17286; KD 45, 47, 48, 49, 50 et 51	collier ; fermoir ; perle mouche ; perle cylindrique ; perle rondelle
cl010024580	200	E 11382	bol
cl010024581	200	E 27204	figurine d'envoûtement
cl010024582	200	E 27208	relief mural ; bloc de paroi
cl010024583	200	E 17262; KD 24	vase simulacre
cl010024584	200	E 17841; MG 332	scarabée
cl010024585	200	E 11307; W. 27; K 163	couteau bifacial
cl010024586	404		
cl010024587	200	N 3461 621	serviteur funéraire momiforme
cl010024588	200	N 3461 622	serviteur funéraire momiforme
cl010024589	200	N 3461 623	serviteur funéraire momiforme
cl010024590	200	N 3461 624	serviteur funéraire momiforme
cl010024591	200	N 3461 625; IM 4439	serviteur funéraire momiforme
cl010024592	200	N 3461 626	serviteur funéraire momiforme
cl010024593	200	MG 14646	amulette
cl010024594	200	N 4608 ?; AF 672; Salt n°1557	amulette
cl010024595	200	E 19520; MG 2021	amulette
cl010024596	200	MG 14610	amulette
cl010024597	404		
cl010024598	200	AF 13541; Salt n°1571	amulette
cl010024599	200	AF 13540; Salt n°1578	amulette
cl010024600	404		
cl010024601	200	E 18725; MG 1216	scarabée
cl010024602	200	E 18740; MG 1231	amulette ; plaquette
cl010024603	200	E 18728; MG 1219	amulette
cl010024604	200	E 19481; MG 1972	scaraboïde ; amulette
cl010024605	200	E 18723; MG 1214; MG 8639	scarabée
cl010024606	200	MG 14624	amulette
cl010024607	200	E 19490; MG 1981	*CROC* amulette
cl010024608	200	MG 15882	amulette
cl010024609	200	MG 14582	amulette
cl010024610	200	E 18743; MG 1234	amulette ; plaquette
cl010024611	200	E 18742; MG 1233; MG 8586 ?	amulette ; plaquette
cl010024612	200	E 19253; MG 8377; MG 1744	amulette ; incrustation
cl010024613	200	E 19254; MG 8376; MG 1745	amulette ; incrustation
cl010024614	200	E 19255; MG 8379; MG 1746	amulette oudjat sommaire
cl010024615	200	E 19256; MG 8375; MG 1747	amulette ; incrustation
cl010024616	200	E 19257; MG 1748; MG 8380	amulette ; incrustation
cl010024617	200	E 19258; MG 8374; MG 1749	amulette ; incrustation
