LDUCE-UC38025 Object Category staves Petrie Museum of Egyptian Archaeology	staves	https://collections.ucl.ac.uk/Details/petrie/3342
LDUCE-UC3993 Object Category architectural fragments Petrie Museum of Egyptian Archaeology	architectural fragments	https://collections.ucl.ac.uk/Details/petrie/5938
LDUCE-UC11550 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10060
LDUCE-UC11551 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10061
LDUCE-UC11552 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10062
LDUCE-UC11553 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10063
LDUCE-UC11554 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10064
LDUCE-UC11555 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10065
LDUCE-UC11556 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10066
LDUCE-UC11557 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10067
LDUCE-UC11558 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10068
LDUCE-UC11559 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10069
LDUCE-UC11560 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10070
LDUCE-UC11561 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10071
LDUCE-UC11562 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10072
LDUCE-UC11563 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10073
LDUCE-UC11564 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10074
LDUCE-UC11565 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10075
LDUCE-UC11566 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10076
LDUCE-UC11567 Object Category scarabs Petrie Museum of Egyptian Archaeology	scarabs	https://collections.ucl.ac.uk/Details/petrie/10077
LDUCE-UC11580 Object Category cylinder seals, beads Petrie Museum of Egyptian Archaeology	cylinder seals, beads	https://collections.ucl.ac.uk/Details/petrie/10090
